09-11;21:35:55.638;742;616443;6646285
09-11;21:35:56.712;971;1286550;10599794
09-11;21:35:57.042;223;285132;10599794
09-11;21:35:58.023;981;1229463;10026201
09-11;21:36:14.830;787;1367757;13903501
09-11;21:36:15.267;285;349989;13903501
09-11;21:36:16.006;739;1327644;14372330
09-11;21:36:17.090;967;1212436;10030494
09-11;21:36:17.403;244;317409;10030494
09-11;21:36:17.894;491;1152874;18784096
09-11;21:36:21.398;3418;1584934;3709617
09-11;21:36:38.102;244;427387;3709617
09-11;21:36:38.659;557;1302984;18714312
09-11;21:36:39.560;773;1537806;15915197
09-11;21:36:40.084;400;224730;15915197
09-11;21:36:40.909;825;1481420;14365284
09-11;21:36:44.379;3378;1500247;3552982
09-11;21:36:44.664;185;299016;3552982
09-11;21:36:45.315;651;1477430;18155820
09-11;21:37:05.219;778;1407994;14478087
09-11;21:37:05.686;343;448894;14478087
09-11;21:37:05.839;153;292518;14478087
09-11;21:37:06.061;142;147710;10469830
09-11;21:37:06.408;347;188508;10469830
09-11;21:37:06.610;89;26921;10469830
09-11;21:40:45.267;326;289390;7101595
09-11;21:40:45.784;421;453552;8618565
09-11;21:40:45.837;52;21360;7101595
09-11;21:40:46.049;148;1069;7101595
09-11;21:40:46.609;399;898131;8618565
09-11;21:40:46.964;265;416094;12561328
09-11;21:40:47.233;269;593008;17635924
09-11;21:40:49.090;1718;1575268;7335357
09-11;21:40:49.390;206;288034;7335357
09-11;21:40:50.425;1035;1441032;11138411
09-11;21:40:52.078;1532;1297931;6777707
09-11;21:41:08.666;625;230229;6777707
09-11;21:41:13.534;4868;1487523;2444573
09-11;21:41:13.807;147;1069;2444573
09-11;21:41:14.511;538;747627;2444573
09-11;21:41:14.875;254;342776;10796094
09-11;21:41:14.930;55;157658;11117130
09-11;21:41:16.266;1209;1286550;8513151
09-11;21:41:16.806;398;278092;8513151
09-11;21:41:18.280;1474;1236503;6711006
09-11;21:41:35.336;1451;1367757;7541044
09-11;21:41:36.047;566;680869;7541044
09-11;21:41:36.501;455;996764;9623590
09-11;21:41:37.843;1244;1212436;7797016
09-11;21:41:38.609;648;1175418;14511333
09-11;21:41:38.744;135;294865;14511333
09-11;21:41:40.335;1475;1584934;8596252
09-11;21:41:57.921;216;293627;8596252
09-11;21:41:58.557;637;1436744;18043880
09-11;21:42:00.401;1737;1537806;7082583
