@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {768,1024,1280,1920}


@DATA
11.1,15.8,415000.0,1.6,3.94,29.5,0.0,117,15,768
10.6,12.9,114999.09,3.8,3.17,27.4,1.62,43.8,30,1024
10.6,17.1,229000.0,2.2,4.29,27.2,0.0,78.3,15,1024
8.40,17.4,399000.0,2.0,5.48,27.3,1.12,131,9.9,1024
3.91,8.80,202999.07,2.6,6.54,28.1,2.14,85.0,19,1024
10.2,18.5,527000.0,1.9,4.77,28.2,0.0,158,14,1280
3.12,11.0,195000.0,2.9,5.84,34.0,2.14,71.5,19,1280
9.13,14.7,540000.0,1.7,6.17,29.4,1.63,160,15,1280
12.6,23.0,745000.0,1.7,4.97,29.2,1.16,161,13,1280
8.48,20.8,417000.0,2.1,5.23,28.0,0.0,150,11,1280
10.4,20.2,538000.0,2.6,5.43,28.3,1.12,181,9.4,1280
3.75,3.78,252999.07,0,5.62,28.4,0.0,89.2,7.8,1280
8.92,9.16,258000.0,0,4.04,29.2,1.60,66.9,39,1280
13.7,24.1,293000.0,1.8,3.03,27.4,0.0,88.0,33,1280
10.6,19.6,248000.0,1.7,3.70,27.0,0.0,72.3,19,1280
11.2,15.5,387000.0,2.8,4.72,30.1,1.53,88.6,29,1280
6.82,16.2,222000.0,1.8,4.15,31.0,0.0,142,13,1280
14.8,25.6,268000.0,3.2,2.49,27.6,0.0,68.9,33,768
12.8,16.5,283000.0,1.7,4.43,29.1,0.0,105,18,768
14.3,21.9,127000.0,1.3,3.16,29.6,0.0,66.9,28,768
11.7,13.6,452,4.1,2.91,28.1,0.0,47.2,32,768
11.9,14.4,830,3.0,2.30,28.6,0.0,39.6,47,768
11.2,17.4,876,0,2.57,30.8,0.0,24.5,49,768
5.00,13.0,164000.0,2.4,5.99,29.9,2.23,70.5,14,768
8.12,21.6,394000.0,1.1,5.67,29.1,1.11,142,7.3,768
12.1,21.1,896000.0,1.4,5.88,30.9,1.26,226,9.5,1024
9.55,24.8,551000.0,0,5.50,28.4,1.02,183,8.8,1024
5.00,8.72,122000.0,0,5.12,28.7,0.0,62.6,13,1024
10.2,10.4,185000.0,2.6,3.90,28.7,0.0,71.3,29,1024
12.4,19.3,209000.0,4.7,3.19,28.0,0.0,62.8,20,1024
11.1,15.5,436000.0,2.0,4.96,27.6,0.0,171,12,1024
10.00,17.0,537000.0,0,5.50,28.4,1.15,167,12,1024
10.6,23.6,277000.0,1.7,3.58,28.0,0.0,95.3,21,1024
13.6,24.3,547000.0,1.9,3.24,28.4,0.0,131,25,1024
14.3,25.7,501000.0,0,4.90,29.2,0.0,157,8.3,1024
7.71,18.6,551000.0,1.4,5.68,27.9,0.0,173,7.4,1024
11.4,23.5,652000.0,0,4.31,29.7,0.0,194,15,1024
11.7,19.5,692000.0,3.7,5.46,28.4,2.28,181,24,1024
13.7,21.2,142000.0,6.9,3.42,29.1,0.0,117,24,1024
12.1,14.6,166000.0,3.5,10.5,28.9,8.17,92.3,17,1024
13.8,26.4,534000.0,1.7,4.12,28.5,1.07,130,15,1024
13.7,23.8,675000.0,3.6,3.95,29.4,0.0,186,18,1024
14.3,25.7,555000.0,2.9,4.32,28.3,1.06,160,27,1024
10.6,20.6,179000.0,3.6,4.28,28.4,1.40,74.5,32,1024
12.8,22.6,289000.0,2.6,5.25,28.3,2.19,102,21,1024
13.5,23.8,368000.0,1.9,6.49,29.5,3.46,137,26,1280
14.4,22.8,496000.0,2.2,4.72,29.6,1.16,157,15,1280
9.68,21.1,567000.0,2.5,6.89,29.9,2.22,150,8.2,1280
14.9,26.2,722000.0,3.5,3.84,28.2,1.09,204,25,1280
13.0,20.3,544000.0,6.4,3.97,27.4,0.0,148,15,1280
12.6,26.7,638000.0,0,3.23,28.5,0.0,151,20,1280
6.20,20.4,502,0,4.10,30.2,1.84,38.6,35,1280
12.5,19.6,528000.0,2.9,5.35,29.6,1.35,132,19,1280
11.3,26.3,186000.0,0,3.14,27.0,0.0,68.4,31,1280
13.9,20.1,178000.0,5.8,4.19,30.0,1.62,83.1,37,1280
14.4,23.4,484000.0,0,3.22,28.1,0.0,141,24,1280
12.7,20.6,117000.0,1,4.51,32.9,2.00,46.6,30,1280
11.8,22.3,612000.0,3.6,4.70,30.1,1.66,193,19,1280
12.7,22.9,424000.0,1.1,4.11,27.5,0.0,106,15,1280
13.8,26.3,462000.0,3.2,2.88,28.7,0.0,108,28,1280
10.5,20.5,285000.0,2.2,2.84,28.4,0.0,74.8,37,1280
13.1,15.1,127000.0,1.1,3.48,29.8,0.0,46.8,26,1280
13.1,20.2,150000.0,1.2,2.70,31.3,0.0,48.6,33,1280
10.2,18.8,426999.0,0,4.52,29.4,0.0,132,11,1280
9.00,16.4,348000.0,2.5,5.36,28.1,1.19,128,7.9,1280
8.92,17.1,398000.0,3.4,4.88,29.1,0.0,112,15,1280
8.70,22.7,501000.0,4.8,4.63,28.2,0.0,165,11,1280
6.52,18.7,387000.0,4.2,5.64,27.5,1.76,123,19,1280
9.13,18.7,420000.0,1.8,4.34,28.1,0.0,128,14,1280
12.6,21.2,616000.0,1.4,4.86,28.2,0.0,173,12,1280
8.60,8.36,242000.0,0,8.16,31.1,3.15,100,5.3,1280
4.40,14.2,167000.0,0,5.15,27.4,1.27,82.6,6.0,1280
7.40,23.5,413000.0,2.2,5.68,27.4,1.84,138,16,1280
14.3,25.0,936999.0,1.2,4.76,28.4,0.0,226,8.4,1280
8.65,21.5,625000.0,1.1,5.21,31.1,0.0,185,8.9,1280
8.33,13.3,289000.0,0,4.45,31.8,0.0,96.7,6.9,1280
12.5,18.5,738000.0,1.8,5.56,28.9,1.36,203,9.4,1280
9.86,22.2,525000.0,3.9,4.27,30.3,0.0,176,18,1280
8.18,23.8,511000.0,3.0,3.82,28.8,0.0,148,5.4,1280
14.4,25.9,999000.0,0,5.42,29.2,0.0,226,4.3,1280
10.6,24.0,661000.0,0,5.04,29.5,0.0,163,3.2,1280
13.6,22.4,814000.0,2.6,4.13,28.3,0.0,196,15,1280
10.2,23.2,515000.0,8.7,2.96,28.9,0.0,155,27,1280
5.63,10.2,244000.0,5.9,3.63,28.1,0.0,86.3,28,1280
7.83,14.3,197000.0,9.4,3.19,31.1,1.32,44.4,49,768
10.00,15.2,496,2.6,3.20,32.9,0.0,49.0,53,768
9.00,13.3,115999.09,0,4.40,29.5,1.10,39.4,31,768
9.63,12.7,506,1.8,2.93,29.6,1.81,55.7,49,768
9.55,16.3,269000.0,4.1,3.07,28.6,1.89,57.6,55,768
12.3,12.8,709,0,2.73,33.3,1.00,32.7,62,768
9.00,15.9,441000.0,3.5,3.19,30.4,0.0,101,45,768
6.52,19.9,250000.0,1.6,4.96,30.7,1.27,80.6,20,768
9.55,10.8,145000.0,0,3.90,30.4,2.10,137,43,768
10.2,11.3,224000.0,1.9,4.52,30.0,0.0,56.8,31,1280
8.00,7.13,112999.09,3.7,4.26,30.3,1.44,61.2,37,1280
7.09,10.0,899,0,4.51,30.3,2.56,47.8,45,1280
12.0,15.9,675,2.0,1.70,32.7,0.0,18.4,66,1280
10.8,13.4,830,0,2.86,30.6,0.0,51.4,41,1280
13.0,14.6,993,0,2.51,29.7,0.0,41.0,47,1280
10.4,7.92,147000.0,9.1,3.31,31.4,0.0,33.8,37,1280
8.48,5.69,756,0,5.70,30.8,1.79,89.6,14,1280
8.12,6.10,194000.0,9.1,5.32,31.1,1.41,77.5,11,1280
6.88,9.20,129000.0,4.1,4.19,30.4,2.31,37.9,43,1280
10.4,7.89,697,8.0,2.90,28.7,1.98,39.7,52,1280
