cqi              mcs              brateDown           bler                snr                   phr                   mcs             brateU           bler                                                                         bsr        
 15.0 ,            26.9,          379000.0 ,          8.7      ,           2.15      ,           34.2      ,          0.0  ,          92.3  ,          43         ,          320                              22:07:5247 320        2.56       ,          
 14.5 ,            26.4,          1080000.0,          1.0      ,           4.33      ,           37.1      ,          0.0  ,          256   ,            2.2      ,          1024                             22:07:5248 1024       134        ,          
 15.0 ,            26.8,          872000.0 ,          0        ,           6.25      ,           35.4      ,          1.27 ,          214   ,            2.0      ,          320                              22:07:5249 320        0.0        ,          
 15.0 ,            26.4,          269000.0 ,          1.8      ,           2.23      ,           34.2      ,          0.0  ,          98.0  ,          52         ,          1280                             22:07:5346 1280       0.0        ,          
 15.0 ,            26.9,          217000.0 ,          14       ,           1.91      ,           34.0      ,          0.0  ,          32.3  ,          52         ,          320                              22:07:5347 320        0.0        ,          
 12.8 ,            20.7,          1010000.0,          0        ,           4.90      ,           37.9      ,          0.0  ,          227   ,            7.7      ,          1024                             22:07:5348 1024       0.0        ,          
 15.0 ,            26.7,          965000.0 ,          0        ,           6.71      ,           36.5      ,          1.91 ,          310   ,            1.6      ,          320                              22:07:5349 320        0.0        ,          
 15.0 ,            26.7,          701000.0 ,          1.6      ,           2.03      ,           32.0      ,          0.0  ,          240   ,          22         ,          1280                             22:07:5446 1280       0.0        ,          
 13.8 ,            21.0,          209000.0 ,          7.4      ,           2.23      ,           35.4      ,          0.0  ,          76.0  ,          40         ,          320                              22:07:5447 320        0.0        ,          
 15.0 ,            26.6,          1080000.0,          1.5      ,           4.66      ,           37.5      ,          0.0  ,          257   ,            5.4      ,          1024                             22:07:5448 1024       0.0        ,          
 15.0 ,            26.7,          846000.0 ,          0        ,           6.76      ,           36.4      ,          1.94 ,          204   ,            1.6      ,          1024                             22:07:5449 1024       0.0        ,          
 15.0 ,            25.8,          265000.0 ,          3.4      ,           1.89      ,           31.2      ,          0.0  ,          110   ,          51         ,          1280                             22:07:5546 1280       0.0        ,          
 14.4 ,            24.6,          461      ,          3.7      ,           1.71      ,           35.2      ,          0.0  ,          45.3  ,          46         ,          320                              22:07:5547 320        0.0        ,          
 14.0 ,            24.0,          1380000.0,          2.5      ,           4.38      ,           37.4      ,          0.0  ,          335   ,            4.2      ,          1024                             22:07:5548 1024       0.0        ,          
