09-12 12:27:11.104;411;191358;10667926;;;;;;;;
09-12 12:27:11.449;345;144860;10667926;;;;;;;;
09-12 12:27:11.726;151;26921;3724729;;;;;;;;
09-12 12:31:45.558;443;289390;3915070;;;;;;;;
09-12 12:31:45.999;356;434556;5226004;;;;;;;;
09-12 12:31:46.016;16;40356;5226004;;;;;;;;
09-12 12:31:46.332;159;1069;5226004;;;;;;;;
09-12 12:31:48.250;1754;898131;5226004;;;;;;;;
09-12 12:31:48.702;335;317534;7582901;;;;;;;;
09-12 12:31:49.490;788;691568;7020994;;;;;;;;
09-12 12:31:51.362;1766;1575268;7135981;;;;;;;;
09-12 12:31:51.921;468;479522;7135981;;;;;;;;
09-12 12:31:52.955;1033;1249544;9677010;;;;;;;;
09-12 12:31:54.328;1271;1297931;8169510;;;;;;;;
09-12 12:31:54.649;206;314709;8169510;;;;;;;;
09-12 12:31:55.610;962;1403043;11667717;;;;;;;;
09-12 12:32:15.370;1714;1538136;7179164;;;;;;;;
09-12 12:32:15.676;176;292086;7179164;;;;;;;;
09-12 12:32:15.866;189;591099;13276636;;;;;;;;
09-12 12:32:16.475;490;1286550;21004896;;;;;;;;
09-12 12:32:17.203;610;1419980;18622688;;;;;;;;
09-12 12:32:17.231;27;94615;18622688;;;;;;;;
09-12 12:32:35.597;1517;1367757;7212957;;;;;;;;
09-12 12:32:35.884;189;262693;7212957;;;;;;;;
09-12 12:32:36.574;690;1414940;16405101;;;;;;;;
09-12 12:32:38.053;1378;1212436;7038815;;;;;;;;
09-12 12:32:38.624;489;894689;7038815;;;;;;;;
09-12 12:32:38.826;202;575594;14637038;;;;;;;;
09-12 12:32:40.304;1388;1584934;9135066;;;;;;;;
09-12 12:32:58.223;303;321787;9135066;;;;;;;;
09-12 12:32:59.915;1690;1408584;6667853;;;;;;;;
09-12 12:33:01.241;1217;1537806;10108831;;;;;;;;
09-12 12:33:01.539;148;190938;10108831;;;;;;;;
09-12 12:33:04.352;2813;1515212;4309170;;;;;;;;
09-12 12:33:06.173;1719;1500247;6981952;;;;;;;;
09-12 12:33:06.534;229;428552;6981952;;;;;;;;
09-12 12:33:07.034;499;1347894;21609524;;;;;;;;
09-12 12:33:25.081;645;1407994;17463492;;;;;;;;
09-12 12:33:25.492;317;281342;17463492;;;;;;;;
09-12 12:33:25.993;502;460070;7331792;;;;;;;;
09-12 12:33:26.225;112;184318;7331792;;;;;;;;
09-12 12:33:26.323;99;151900;7331792;;;;;;;;
09-12 12:33:26.566;93;26921;7331792;;;;;;;;
09-12 12:34:36.571;507;289390;4566311;;;;;;;;
09-12 12:34:36.899;243;274044;6961031;;;;;;;;
09-12 12:34:36.996;98;200868;9022024;;;;;;;;
09-12 12:34:37.180;84;1069;9022024;;;;;;;;
09-12 12:34:37.885;558;898131;12876430;;;;;;;;
09-12 12:34:38.401;448;304862;12876430;;;;;;;;
09-12 12:34:39.191;790;704240;7131544;;;;;;;;
09-12 12:34:39.968;692;1575268;18211190;;;;;;;;
09-12 12:34:40.507;412;383778;18211190;;;;;;;;
09-12 12:34:42.252;1745;1345288;6167509;;;;;;;;
09-12 12:34:43.324;962;1297931;10793604;;;;;;;;
09-12 12:34:59.699;385;337237;10793604;;;;;;;;
09-12 12:35:00.664;965;1380515;11444683;;;;;;;;
09-12 12:35:02.327;1572;1538136;7827664;;;;;;;;
09-12 12:35:02.848;393;439670;7827664;;;;;;;;
09-12 12:35:03.038;189;443515;8950025;;;;;;;;
09-12 12:35:03.748;574;1286550;17931010;;;;;;;;
09-12 12:35:21.240;681;290764;17931010;;;;;;;;
09-12 12:35:22.796;1555;1223831;6296236;;;;;;;;
09-12 12:35:24.636;1745;1367757;6270519;;;;;;;;
09-12 12:35:25.054;319;386597;6270519;;;;;;;;
09-12 12:35:25.920;865;1291036;11940217;;;;;;;;
09-12 12:35:26.675;664;1212436;14607662;;;;;;;;
09-12 12:35:27.156;380;293473;14607662;;;;;;;;
