@relation VideoQuality-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute cqi numeric
@attribute mcsDown numeric
@attribute brateDown numeric
@attribute blerDown numeric
@attribute snr numeric
@attribute phr numeric
@attribute mcsUp numeric
@attribute brateUp numeric
@attribute blerUp numeric
@attribute bsr numeric
@attribute class {A,B,C,D,E,F,G}

@data
0.953333,0.97037,0.437255,0,0.705521,0.743328,0.584874,0.288991,0.058,0,F
0.370667,0.351111,0.129902,0.029167,0.393865,0.753305,0.144538,0.113761,0.041,0,F
0.906667,0,0,0,0.073006,0.910451,0,0.02695,0.68,0,B
1,0.992593,0.691177,0,0.43865,0.850586,0.244538,0.431193,0.057,0,C
0.98,0.988889,0.431373,0,0.644172,0.775755,0.565546,0.309633,0.1,0,F
0.610667,0.518519,0.195588,0.063542,0.371779,0.740833,0.131933,0.15711,0.031,0.261504,F
0.8,0.737037,0.000122,0.260417,0.11411,0.89798,0,0.020528,0.45,0,B
1,0.996296,0.681373,0,0.455215,0.858069,0.229412,0.392202,0.026,0.751964,C
0.986667,0.996296,0.403432,0,0.656442,0.758294,0.536134,0.255734,0.068,0,F
0.576,0.5,0.17402,0.026042,0.36135,0.735844,0.126891,0.161697,0.038,0.529742,F
0.8,0.481481,0.000413,0.135417,0.137423,0.947867,0,0.042431,0.35,0,B
1,0.996296,0.627451,0,0.446626,0.883013,0.263025,0.352064,0.038,0,C
0.986667,0.988889,0.391667,0,0.644172,0.758294,0.501681,0.272936,0.058,0,F
0.686667,0.596296,0.173529,0.047917,0.391411,0.780743,0.147899,0.190367,0,0,F
0.866667,0.644444,0.000476,0.229167,0,0,0,0,1,0,E
1,0.996296,0.686275,0,0.430675,0.878024,0.197479,0.397936,0.02,0.720539,B
1,1,0.451471,0,0.693252,0.7109,0.613445,0.299312,0.07,0,F
0.509333,0.437037,0.152451,0,0.365644,0.775755,0.142857,0.111927,0.089,0.43771,F
1,0.925926,0.000012,0,0.204908,0,0,0,1,0,E
1,0.996296,0.705883,0,0.43681,0.865553,0.230252,0.456422,0,0,B
1,1,0.331373,0,0.650307,0.865553,0.57563,0.209862,0.15,0.002346,F
0.886667,0.848148,0.342157,0.014583,0.382209,0.763283,0.148739,0.208716,0,0,F
0.733333,0,0,0,0,0,0,0,1,0,E
