@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
10.00,17.0,537000.0,0,5.50,28.4,1.15,167,12,1024
10.6,23.6,277000.0,1.7,3.58,28.0,0.0,95.3,21,1024
13.6,24.3,547000.0,1.9,3.24,28.4,0.0,131,25,1024
14.3,25.7,501000.0,0,4.90,29.2,0.0,157,8.3,1024
7.71,18.6,551000.0,1.4,5.68,27.9,0.0,173,7.4,1024
11.4,23.5,652000.0,0,4.31,29.7,0.0,194,15,1024
11.7,19.5,692000.0,3.7,5.46,28.4,2.28,181,24,1024
13.7,21.2,142000.0,6.9,3.42,29.1,0.0,117,24,1024
12.1,14.6,166000.0,3.5,10.5,28.9,8.17,92.3,17,1024
13.8,26.4,534000.0,1.7,4.12,28.5,1.07,130,15,1024
13.7,23.8,675000.0,3.6,3.95,29.4,0.0,186,18,1024
14.3,25.7,555000.0,2.9,4.32,28.3,1.06,160,27,1024
10.6,20.6,179000.0,3.6,4.28,28.4,1.40,74.5,32,1024
12.8,22.6,289000.0,2.6,5.25,28.3,2.19,102,21,1024
13.5,23.8,368000.0,1.9,6.49,29.5,3.46,137,26,1280
14.4,22.8,496000.0,2.2,4.72,29.6,1.16,157,15,1280
9.68,21.1,567000.0,2.5,6.89,29.9,2.22,150,8.2,1280
14.9,26.2,722000.0,3.5,3.84,28.2,1.09,204,25,1280
13.0,20.3,544000.0,6.4,3.97,27.4,0.0,148,15,1280
12.6,26.7,638000.0,0,3.23,28.5,0.0,151,20,1280
