@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
15.0,26.9,700000.0,1.5,6.90,28.6,1.87,179,0,1280
14.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,26.9,754000.0,0,7.13,31.8,2.24,183,2.9,1280
15.0,26.6,900000.0,0,7.23,30.6,1.81,208,0,1280
15.0,26.9,1050000.0,0,7.15,29.5,1.85,260,1.4,1280
15.0,26.8,769000.0,0,6.27,29.1,1.54,210,5.4,1280
15.0,26.8,1430000.0,0,7.18,29.3,2.02,303,0,1280
15.0,26.4,787000.0,0,6.76,29.3,2.53,206,5.4,1280
15.0,26.9,1540000.0,0,6.78,29.0,1.79,314,0,1280
15.0,26.9,1420000.0,0,6.60,28.4,1.67,318,1.3,1280
15.0,26.6,382000.0,0,6.29,31.5,1.35,94.1,1.3,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1280
15.0,26.2,769000.0,0,7.04,29.3,1.98,196,1.4,1280
15.0,26.9,1710000.0,0,7.09,27.7,2.03,353,0,1280
15.0,26.8,1090000.0,0,7.14,27.8,1.77,247,0,1280
15.0,26.8,1170000.0,0,7.70,29.6,2.51,273,0,1280
15.0,27.0,1280000.0,0,7.03,29.9,1.80,271,2.7,1280
15.0,26.5,1010000.0,0,6.68,28.9,1.98,249,2.3,1280
15.0,26.8,1330000.0,0,6.77,31.5,1.94,292,2.0,1280
15.0,26.9,693000.0,0,5.81,31.4,1.33,157,7.1,1280
15.0,27.0,810000.0,0,6.38,29.6,1.94,215,8.3,1280
15.0,27.0,793000.0,0,7.08,31.1,2.12,201,0,1280
