@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE blerUp REAL
@ATTRIBUTE class {A,B,C,D,E,F,G}


@DATA
0.0,31,1.84,36.4,49,A
15.0,1.1,10.4,34.5,8.9,C
15.0,0,3.63,33.010,75,C
14.0,3.7,11.6,23.9,15,D
1.80,11,0.0,36.0,76,A
15.0,0,9.32,33.4,15,D
15.0,0,0.0,0.0,0,C
12.6,4.1,12.9,27.4,11,D
1.20,30,1.09,36.0,74,A
15.0,2.5,9.20,34.1,12,D
15.0,0,0.0,0.0,0,C
11.4,4.9,11.4,26.2,9.2,D
0.0,0,0.0,0.0,100,A
15.0,1.5,8.72,34.5,18,D
15.0,0,0.0,0.0,0,C
8.40,2.9,12.1,27.2,12,D
4.20,23,3.09,36.5,39,A
15.0,0,9.47,32.9,1.3,D
15.0,0,6.76,29.04,0,C
9.60,10,11.1,25.8,16,D
4.20,30,0.0,36.0,65,A
15.0,0,9.45,33.7,7.6,D
15.0,0,0.0,0.0,0,C
6.60,8.3,9.71,24.4,19,D
5.00,20,2.13,38.7,44,A
15.0,0,12.8,34.9,1.8,D
15.0,0,0.0,0.0,0,C
10.8,4.6,11.8,24.1,13,D
2.40,32,0.0,0.0,100,A
15.0,0,11.1,34.9,6.8,D
15.0,0,0.0,0.0,0,C
9.60,8.2,10.5,25.0,18,D
0.0,45,2.19,37.2,48,A
15.0,0,11.2,33.8,10.0,D
15.0,0,0.0,0.0,0,C
9.00,5.1,10.0,26.4,18,D
3.60,14,1.73,37.5,89,A
15.0,0,11.7,34.5,2.5,D
15.0,0,0.0,0.0,0,C
9.00,4.0,7.77,24.3,24,D
0.0,0,3.55,40.0,38,A
15.0,0,11.5,34.2,5.7,D
15.0,0,0.0,0.0,0,C
7.80,4.6,15.0,26.1,0,D
4.80,4.3,3.15,36.0,49,A
15.0,0,10.5,34.0,0,D
15.0,0,0.0,0.0,0,C
8.40,0,15.3,25.4,0,D
5.40,4.5,3.18,37.9,33,A
15.0,0,0.0,0.0,0,D
15.0,0,11.7,25.8,0,C
6.60,0,16.2,26.5,1.9,D
4.80,6.5,3.61,38.2,34,A
15.0,0,0.0,0.0,0,D
15.0,0,10.2,26.5,3.4,C
8.40,0,13.7,27.7,1.7,D
3.75,9.3,2.08,36.5,37,A
15.0,0,0.0,0.0,0,C
15.0,0,10.3,26.4,4.2,C
7.80,1.5,12.8,28.1,0,C
7.50,15,2.71,37.3,28,A
15.0,0,0.0,0.0,0,C
15.0,2.2,8.85,26.6,12,C
8.40,3.2,14.2,27.1,3.3,C
13.8,14,1.91,38.0,38,A
15.0,0,0.0,0.0,0,C
15.0,1.5,7.12,25.2,4.0,C
9.00,0,15.3,27.9,3.2,C
2.40,5.2,3.12,37.5,41,A
15.0,0,0.0,0.0,0,C
14.4,1.3,7.41,26.6,6.2,C
10.8,3.3,13.1,27.9,2.4,C
11.1,5.3,0.0,36.0,68,A
15.0,0,0.0,0.0,0,D
15.0,0,7.98,25.9,6.0,C
6.00,7.6,12.7,26.6,1.4,C
